ticker,fund_name,asset_class,expense_ratio,fact_sheet_url,cusip
JPHY,JPMorgan Active High Yield ETF,Fixed Income Taxable,0.0045,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPHY.PDF,46654Q633
JPIB,JPMorgan International Bond Opportunities ETF,Fixed Income Taxable,0.005,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPIB.PDF,46641Q852
JSCP,JPMorgan Short Duration Core Plus ETF,Fixed Income Taxable,0.0033,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JSCP.PDF,46641Q274
JFLX,JPMorgan Flexible Debt ETF,Fixed Income Taxable,0.0045,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JFLX.PDF,46654Q559
BBAG,JPMorgan BetaBuilders U.S. Aggregate Bond ETF,Fixed Income Taxable,0.0003,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBAG.PDF,46641Q241
JCPI,JPMorgan Inflation Managed Bond ETF,Fixed Income Taxable,0.0025,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JCPI.PDF,46654Q104
BBHY,JPMorgan BetaBuilders USD High Yield Corporate Bond ETF,Fixed Income Taxable,0.0007,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBHY.PDF,46641Q878
BBSB,JPMorgan BetaBuilders U.S. Treasury Bond 1-3 Year ETF,Fixed Income Taxable,0.0004,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBSB.PDF,46654Q856
BBIB,JPMorgan BetaBuilders U.S. Treasury Bond 3-10 Year ETF,Fixed Income Taxable,0.0004,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBIB.PDF,46654Q849
BBCB,JPMorgan BetaBuilders USD Investment Grade Corporate Bond ETF,Fixed Income Taxable,0.0004,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBCB.PDF,46641Q449
JFLI,JPMorgan Flexible Income ETF,Fixed Income Taxable,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JFLI.pdf,46654Q641
BBLB,JPMorgan BetaBuilders U.S. Treasury Bond 20+ Year ETF,Fixed Income Taxable,0.0004,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBLB.PDF,46654Q831
JPMB,JPMorgan USD Emerging Markets Sovereign Bond ETF,Fixed Income Taxable,0.0039,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPMB.PDF,46641Q746
JPIE,JPMorgan Income ETF,Fixed Income Taxable,0.0039,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPIE.PDF,46641Q159
JMMF,JPMorgan 100% U.S. Treasury Securities Money Market ETF,Fixed Income Taxable,0.0016,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/money-market/fs.jmmf-etf.pdf,46654Q542
JMUB,JPMorgan Municipal ETF,Fixed Income Tax-Free,0.0018,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JMUB.PDF,46641Q647
JMST,JPMorgan Ultra-Short Municipal Income ETF,Fixed Income Tax-Free,0.0018,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JMST.PDF,46641Q654
JCAL,JPMorgan California Tax Free Bond ETF,Fixed Income Tax-Free,0.0034,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/fs-jcal.pdf,46654Q484
JTNY,JPMorgan New York Tax Free Bond ETF,Fixed Income Tax-Free,0.0034,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JTNY.PDF,46654Q476
JMSI,JPMorgan Sustainable Municipal Income ETF,Fixed Income Tax-Free,0.0018,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JMSI.PDF,46654Q815
JMHI,JPMorgan High Yield Municipal ETF,Fixed Income Tax-Free,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JMHI.PDF,46654Q799
HELO,JPMorgan Hedged Equity Laddered Overlay ETF,Alternatives,0.005,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-HELO.pdf,46654Q724
HEQQ,JPMorgan Nasdaq Hedged Equity Laddered Overlay ETF,Alternatives,0.005,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-HEQQ.PDF,46654Q625
HOLA,JPMorgan International Hedged Equity Laddered Overlay ETF,Alternatives,0.005,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-HOLA.PDF,46654Q591
JPFP,JPMorgan Managed Futures Plus ETF,Alternatives,0.0059,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPFP.PDF,46654Q526
JPRE,JPMorgan Realty Income ETF,Alternatives,0.005,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPRE.pdf,46641Q126
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Alternatives,0.0011,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBRE.PDF,46641Q738
